year month birth  
   46  1  7841
   46  2  8125
   46  3  9349
   46  4  8725
   46  5  9086
   46  6  7997
   46  7  8054
   46  8  7658
   46  9  7681
   46 10  7557
   46 11  6955
   46 12  7083
   47  1  7801
   47  2  7664
   47  3  8877
   47  4  8459
   47  5  8670
   47  6  7738
   47  7  7643
   47  8  7466
   47  9  7173
   47 10  6908
   47 11  6512
   47 12  6803
   48  1  7217
   48  2  7113
   48  3  8083
   48  4  7653
   48  5  7685
   48  6  7019
   48  7  7181
   48  8  6784
   48  9  6819
   48 10  6562
   48 11  6324
   48 12  6498
   49  1  6765
   49  2  6514
   49  3  7499
   49  4  7285
   49  5  7124
   49  6  6746
   49  7  6561
   49  8  6556
   49  9  6388
   49 10  6276
   49 11  5999
   49 12  6206
   50  1  6750
   50  2  6494
   50  3  7692
   50  4  7266
   50  5  7234
   50  6  6620
   50  7  6523
   50  8  6324
   50  9  6322
   50 10  6214
   50 11  5965
   50 12  6154
   51  1  6504
   51  2  6408
   51  3  7245
   51  4  6861
   51  5  6934
   51  6  6389
   51  7  6185
   51  8  6045
   51  9  5854
   51 10  5849
   51 11  6179
   51 12  6106
   52  1  6254
   52  2  6259
   52  3  7071
   52  4  7070
   52  5  6722
   52  6  6161
   52  7  6256
   52  8  6062
   52  9  6298
   52 10  6331
   52 11  6171
   52 12  6288
   53  1  6634
   53  2  6346
   53  3  7449
   53  4  7237
   53  5  7028
   53  6  6543
   53  7  6449
   53  8  6369
   53  9  6297
   53 10  5989
   53 11  5621
   53 12  6299
   54  1  6357
   54  2  6266
   54  3  7126
   54  4  6707
   54  5  6891
   54  6  6436
   54  7  6276
   54  8  6079
   54  9  6349
   54 10  6106
   54 11  5832
   54 12  5940
   55  1  6200
   55  2  6178
   55  3  7151
   55  4  7048
   55  5  6783
   55  6  6423
   55  7  6412
   55  8  6271
   55  9  6177
   55 10  6273
   55 11  5755
   55 12  6174
   56  1  6211
   56  2  6268
   56  3  7218
   56  4  6909
   56  5  6841
   56  6  6113
   56  7  6487
   56  8  6484
   56  9  6137
   56 10  6080
   56 11  5940
   56 12  6037
   57  1  6301
   57  2  6008
   57  3  6831
   57  4  6685
   57  5  6729
   57  6  6451
   57  7  6116
   57  8  6160
   57  9  6219
   57 10  6114
   57 11  5661
   57 12  5989
   58  1  6198
   58  2  5857
   58  3  7027
   58  4  6869
   58  5  6706
   58  6  6394
   58  7  6005
   58  8  5584
   58  9  6001
   58 10  5984
   58 11  5789
   58 12  6267
   59  1  6092
   59  2  5880
